Namespace(lambda_cd=1, dim_neck=16, dim_emb=256, dim_pre=512, freq=16, data_dir='./spmel', batch_size=2, num_iters=100000, len_crop=128, log_step=10)
Finished loading the dataset...
/zhome/f6/e/127187/Desktop/autovc/solver_encoder.py:99: UserWarning: Using a target size (torch.Size([2, 1, 128, 80])) that is different to the input size (torch.Size([2, 128, 80])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  g_loss_id = F.mse_loss(x_real, x_identic)
/zhome/f6/e/127187/Desktop/autovc/solver_encoder.py:100: UserWarning: Using a target size (torch.Size([2, 1, 128, 80])) that is different to the input size (torch.Size([2, 128, 80])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  g_loss_id_psnt = F.mse_loss(x_real, x_identic_psnt)
Start training...
Elapsed [0:00:02], Iteration [10/100000], G/loss_id: 0.1281, G/loss_id_psnt: 1.0972, G/loss_cd: 0.1159
Elapsed [0:00:05], Iteration [20/100000], G/loss_id: 0.0586, G/loss_id_psnt: 0.8302, G/loss_cd: 0.1015
Elapsed [0:00:08], Iteration [30/100000], G/loss_id: 0.1145, G/loss_id_psnt: 0.5702, G/loss_cd: 0.0995
Elapsed [0:00:12], Iteration [40/100000], G/loss_id: 0.2588, G/loss_id_psnt: 0.3722, G/loss_cd: 0.0837
Elapsed [0:00:15], Iteration [50/100000], G/loss_id: 0.2439, G/loss_id_psnt: 0.3368, G/loss_cd: 0.0813
Elapsed [0:00:18], Iteration [60/100000], G/loss_id: 0.2517, G/loss_id_psnt: 0.3230, G/loss_cd: 0.0730
Elapsed [0:00:22], Iteration [70/100000], G/loss_id: 0.2053, G/loss_id_psnt: 0.3883, G/loss_cd: 0.0749
Elapsed [0:00:24], Iteration [80/100000], G/loss_id: 0.2039, G/loss_id_psnt: 0.3515, G/loss_cd: 0.0703
Elapsed [0:00:27], Iteration [90/100000], G/loss_id: 0.2847, G/loss_id_psnt: 0.2727, G/loss_cd: 0.0551
Elapsed [0:00:29], Iteration [100/100000], G/loss_id: 0.2859, G/loss_id_psnt: 0.2532, G/loss_cd: 0.0529
Elapsed [0:00:32], Iteration [110/100000], G/loss_id: 0.2076, G/loss_id_psnt: 0.3454, G/loss_cd: 0.0491
Elapsed [0:00:35], Iteration [120/100000], G/loss_id: 0.2818, G/loss_id_psnt: 0.2657, G/loss_cd: 0.0463
Elapsed [0:00:37], Iteration [130/100000], G/loss_id: 0.2712, G/loss_id_psnt: 0.2621, G/loss_cd: 0.0426
Elapsed [0:00:40], Iteration [140/100000], G/loss_id: 0.2740, G/loss_id_psnt: 0.2604, G/loss_cd: 0.0415
Elapsed [0:00:43], Iteration [150/100000], G/loss_id: 0.2570, G/loss_id_psnt: 0.2743, G/loss_cd: 0.0449
