
Namespace(lambda_cd=1, dim_neck=16, dim_emb=256, dim_pre=512, freq=16, data_dir='./spmel', batch_size=2, num_iters=1000000, len_crop=128, lr=0.0001, log_step=10)
/zhome/f6/e/127187/Desktop/autovc/solver_encoder.py:102: UserWarning: Using a target size (torch.Size([2, 1, 128, 80])) that is different to the input size (torch.Size([2, 128, 80])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  g_loss_id = F.mse_loss(x_real, x_identic)
/zhome/f6/e/127187/Desktop/autovc/solver_encoder.py:103: UserWarning: Using a target size (torch.Size([2, 1, 128, 80])) that is different to the input size (torch.Size([2, 128, 80])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  g_loss_id_psnt = F.mse_loss(x_real, x_identic_psnt)
Finished loading the dataset...
Start training...
Elapsed [0:00:00], Iteration [10/1000000], G/loss_id: 0.1259, G/loss_id_psnt: 1.1047, G/loss_cd: 0.1131
Elapsed [0:00:02], Iteration [20/1000000], G/loss_id: 0.0369, G/loss_id_psnt: 0.9575, G/loss_cd: 0.1007
Elapsed [0:00:04], Iteration [30/1000000], G/loss_id: 0.0632, G/loss_id_psnt: 0.7868, G/loss_cd: 0.1023
Elapsed [0:00:06], Iteration [40/1000000], G/loss_id: 0.1552, G/loss_id_psnt: 0.5311, G/loss_cd: 0.0983
Elapsed [0:00:08], Iteration [50/1000000], G/loss_id: 0.1947, G/loss_id_psnt: 0.4507, G/loss_cd: 0.0922
Elapsed [0:00:10], Iteration [60/1000000], G/loss_id: 0.2334, G/loss_id_psnt: 0.3603, G/loss_cd: 0.0897
Elapsed [0:00:11], Iteration [70/1000000], G/loss_id: 0.2277, G/loss_id_psnt: 0.3595, G/loss_cd: 0.0770
Elapsed [0:00:13], Iteration [80/1000000], G/loss_id: 0.2138, G/loss_id_psnt: 0.3506, G/loss_cd: 0.0764
Elapsed [0:00:15], Iteration [90/1000000], G/loss_id: 0.2481, G/loss_id_psnt: 0.3117, G/loss_cd: 0.0752
Elapsed [0:00:17], Iteration [100/1000000], G/loss_id: 0.2745, G/loss_id_psnt: 0.2842, G/loss_cd: 0.0501
Elapsed [0:00:19], Iteration [110/1000000], G/loss_id: 0.2770, G/loss_id_psnt: 0.2648, G/loss_cd: 0.0570
Elapsed [0:00:21], Iteration [120/1000000], G/loss_id: 0.2466, G/loss_id_psnt: 0.3016, G/loss_cd: 0.0590
